12/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Name,DOB,Age,2021 Exp,COLLEGE,COUNTRY,NBA D YR,NBA D R,NBA D P,NBN D YR,NBN D R,NBN D P,Bio URL,2k Overall,Height,Weight,Primary Pos.,Secondary Pos.,2021 Awards,2022 Awards,2023 Awards,2024 Awards,2025 Awards,2026 Awards,2027 Awards,2028 Awards,2029 Awards,2030 Awards,2031 Awards,2021 Salary,2022 Salary,2023 Salary,2024 Salary,2025 Salary,2026 Salary,2027 Salary,2028 Salary,2029 Salary,2030 Salary,2031 Salary,2032 Salary,2033 Salary,2034 Salary,2035 Salary,2036 Salary,2037 Salary,2038 Salary,2039 Salary,2040 Salary,2020-21 Starts,2022 Starts,2023 Starts,2024 Starts,2025 Starts,2026 Starts,2027 Starts,2028 Starts,2029 Starts,2030 Starts,2031 Starts,Combo Pos.,Team,Img URL,21-22 Primary,21-22 Secondary,22-23 Primary,22-23 Secondary,22-23 OVR
"GILL, ANTHONY","GILL, ANTHONY",10/17/1992,31,2,Virginia,USA,2020,Undrafted,,2020,Undrafted,,https://docs.google.com/spreadsheets/d/1zpFpn566GTgdLNF7YlueldegR7iCibjr7t37PiU572o/edit?usp=sharing,73,"6'7""",230 lbs,PF,,,,,,,,,,,,,"$898,310","$1,517,981",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,PF,POR,https://www.basketball-reference.com/req/202106291/images/players/gillan01.jpg,PF,,,,
"Gillespie, Freddie","GILLESPIE, FREDDIE",6/14/1997,26,2,Baylor,USA,2020,Undrafted,,2020,Undrafted,,https://docs.google.com/spreadsheets/d/1iwA8kflPASMWQnFn1rDkIohl-JtzEyI-0q31lGKHBL0/edit?usp=sharing,71,"6'9""",245 lbs,C,PF,,,,,,,,,,,,"$161,076","$1,517,981",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,C/PF,FA,https://www.basketball-reference.com/req/202106291/images/players/gillefr01.jpg,C,PF,,,
"Gobert, Rudy","GOBERT, RUDY",6/26/1992,31,9,None,France,2013,Round 1,Pick 27,,,,https://docs.google.com/spreadsheets/d/1wf4e3ktAuJureJVKdFd9zwSXfh-Np923HaIZ6vyI1p4/edit?usp=sharing,90,"7'1""",258 lbs,C,,NBN All-Defensive Second Team,"NBN Defensive Player of the Year, NBN All-Defensive First Team",,,,,,,,,,"$27,525,281","$33,724,200","$36,422,136","$39,120,072","$41,818,008","$44,515,944",,,,,,,,,,,,,,,79,81,77,,,,,,,,,C,CLE,https://www.basketball-reference.com/req/202106291/images/players/goberru01.jpg,C,,C,,88
"Goodwin, Brandon","GOODWIN, BRANDON",10/2/1995,28,4,Florida Gulf Coast,USA,2018,Undrafted,,,,,,74,"6'0""",180 lbs,PG,,,,,,,,,,,,,,"$679,692",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,PG,FA,https://www.basketball-reference.com/req/202106291/images/players/goodwbr01.jpg,PG,,,,
"Gordon, Aaron","GORDON, AARON",9/16/1995,28,8,Arizona,USA,2014,Round 1,Pick 4,,,,https://docs.google.com/spreadsheets/d/1yDMG44JKnuZQNdPVStwubFJlOmn2RlBkEiFGGHeCyE8/edit?usp=sharing,79,"6'8""",235 lbs,PF,SF,,,,,,,,,,,,"$18,136,364","$16,409,091",,,,,,,,,,,,,,,,,,,82,61,81,,,,,,,,,PF/SF,MIN,https://www.basketball-reference.com/req/202106291/images/players/gordoaa01.jpg,PF,SF,PF,SF,
"Gordon, Eric","GORDON, ERIC",12/25/1988,34,14,Indiana,USA,2008,Round 1,Pick 7,,,,https://docs.google.com/spreadsheets/d/1ER680za4E-RY_QY2giNXm36g-OaKLpp5UktRZQVMqW0/edit?usp=sharing,78,"6'3""",215 lbs,SG,SF,,,,,,,,,,,,"$16,869,276","$18,218,818","$19,568,360",,,,,,,,,,,,,,,,,,15,37,39,,,,,,,,,SG/SF,LAL,https://www.basketball-reference.com/req/202106291/images/players/gordoer01.jpg,SG,SF,SG,SF,
"Graham, Devonte","GRAHAM, DEVONTE",2/22/1995,28,4,Kansas,USA,2018,Round 2,Pick 34,,,,https://docs.google.com/spreadsheets/d/176mDBXGjlqk9-6JrDTFtFoHCQIhxJc5fAp9z0xGJh78/edit?usp=sharing,80,"6'1""",195 lbs,PG,SG,,,,,,,,,,,,"$1,663,861","$10,000,000","$10,000,000","$10,000,000",,,,,,,,,,,,,,,,,64,82,43,,,,,,,,,PG/SG,CHA,https://www.basketball-reference.com/req/202106291/images/players/grahade01.jpg,PG,SG,PG,SG,75
"Grant, Jerami","GRANT, JERAMI",3/12/1994,29,8,Syracuse,USA,2014,Round 2,Pick 39,,,,https://docs.google.com/spreadsheets/d/1puFH8m3MmYF5zuqYPkY5Ef3_7psTdLZwRqnzYmgGU5Y/edit?usp=sharing,82,"6'8""",210 lbs,PF,SF,NBN Champion,,,,,,,,,,,"$13,000,000","$12,350,000","$11,700,000",,,,,,,,,,,,,,,,,,59,50,63,,,,,,,,,PF/SF,ATL,https://www.basketball-reference.com/req/202106291/images/players/grantje01.jpg,PF,SF,,,
"Grant, Jerian","GRANT, JERIAN",10/9/1992,31,6,Notre Dame,USA,2015,Round 1,Pick 19,,,,https://docs.google.com/spreadsheets/d/1l7G7-ytLd8EVQ8in5SFpvsWzqd_pL5oIPl95NJqP4Ko/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,FA,https://www.basketball-reference.com/req/202106291/images/players/grantje02.jpg,PG,SG,,,
"Green, Danny","GREEN, DANNY",6/22/1987,36,13,North Carolina,USA,2009,Round 2,Pick 46,,,,https://docs.google.com/spreadsheets/d/1dNI33X_TJJ_0owUq9VkrzD7HkYflUGaPGSvgBrVgdiw/edit?usp=sharing,75,"6'6""",215 lbs,SF,SG,,,,,,,,,,,,"$15,365,854","$6,650,000",,,,,,,,,,,,,,,,,,,30,42,,,,,,,,,,SF/SG,FA,https://www.basketball-reference.com/req/202106291/images/players/greenda02.jpg,SF,SG,SF,SG,73
"Green, Draymond","GREEN, DRAYMOND",3/4/1990,33,10,Michigan State,USA,2012,Round 2,Pick 35,,,,https://docs.google.com/spreadsheets/d/14jOMezJvJd9CM_ZL9xKcSWEGH2fACVvAJSmJ8tsPCkU/edit?usp=sharing,80,"6'6""",230 lbs,PF,C,,,,,,,,,,,,"$22,246,956","$24,026,712","$25,806,469",,,,,,,,,,,,,,,,,,54,77,50,,,,,,,,,PF/C,SAC,https://www.basketball-reference.com/req/202106291/images/players/greendr01.jpg,PF,C,PF,C,
"Green, Gerald","GREEN, GERALD",1/26/1986,37,14,None,USA,2005,Round 1,Pick 18,,,,https://docs.google.com/spreadsheets/d/1_8pGAFrZ_tdDBiRPLAdPdxG5LYVf9lm5CrQEL8gUGi4/edit?usp=sharing,,,,,,,,,,,,,,,,,"$2,564,753","$2,692,991",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,FA,https://www.basketball-reference.com/req/202106291/images/players/greenge01.jpg,SF,SG,,,
"Porter, Otto","PORTER, OTTO",6/3/1993,30,9,Georgetown,USA,2013,Round 1,Pick 3,,,,https://docs.google.com/spreadsheets/d/1Wsb1r7xTSPpW-Qca5xg5miMnl2YgtKq_GGKYA3qAIXQ/edit?usp=sharing,79,"6'8""",198 lbs,PF,SF,,,,,,,,,,,,"$28,489,239","$6,000,000","$6,300,000",,,,,,,,,,,,,,,,,,59,9,3,,,,,,,,,PF/SF,ATL,https://www.basketball-reference.com/req/202106291/images/players/porteot01.jpg,PF,SF,,,
"Saric, Dario","SARIC, DARIO",4/8/1994,29,6,None,Croatia,2014,Round 1,Pick 12,,,,https://docs.google.com/spreadsheets/d/1CumELqiKEAyrfGZHenVRisVx4sD2-L6WtQKqthabEgI/edit?usp=sharing,77,"6'10""",225 lbs,C,PF,,,,,,,,,,,,"$9,246,000","$9,246,000","$9,246,000",,,,,,,,,,,,,,,,,,15,2,3,,,,,,,,,C/PF,LAC,https://www.basketball-reference.com/req/202106291/images/players/saricda01.jpg,C,PF,,,
"Wade, Dean","WADE, DEAN",11/20/1996,27,3,Kansas State,USA,2019,Undrafted,,,,,https://docs.google.com/spreadsheets/d/1GFWtZLBEoA2ONsd2Px2tC_aWHcDVSnxYJJlJ3ukQSHg/edit?usp=sharing,72,"6'9""",228 lbs,PF,,,,,,,,,,,,,,"$721,291",,,,,,,,,,,,,,,,,,,0,0,3,,,,,,,,,PF,FA,https://www.basketball-reference.com/req/202106291/images/players/wadede01.jpg,PF,,PF,,
"Green, Jeff","GREEN, JEFF",8/28/1986,37,14,Georgetown,USA,2007,Round 1,Pick 5,,,,https://docs.google.com/spreadsheets/d/1sGmvowWxq8mnpuDE_185eDdoR6f6JRpoVpJc1pUsi_I/edit?usp=sharing,73,"6'8""",235 lbs,PF,C,,,,,,,,,,,,"$1,620,564","$2,641,691",,,,,,,,,,,,,,,,,,,19,0,30,,,,,,,,,PF/C,BOS,https://www.basketball-reference.com/req/202106291/images/players/greenje02.jpg,PF,C,PF,C,
"GREEN, JOSH","GREEN, JOSH",11/16/2000,23,2,Arizona,Australia,2020,Round 1,Pick 18,2020,Round 1,Pick 22 (DEN),https://docs.google.com/spreadsheets/d/1xlQy-MPl6bsN8Om9tGy_uX_3aRz4bLwQ8Cr82x9q47k/edit?usp=sharing,76,"6'5""",200 lbs,SF,SG,,,,,,,,,,,,"$1,983,200","$2,082,300",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SF/SG,UTA,https://www.basketball-reference.com/req/202106291/images/players/greenjo02.jpg,SF,SG,SF,SG,
"Griffin, Blake","GRIFFIN, BLAKE",3/16/1989,34,12,Oklahoma,USA,2009,Round 1,Pick 1,,,,https://docs.google.com/spreadsheets/d/1xFQ9JFg01-bDc07RH0yz4UrtVkpNL_e4L6h0fOXl_R0/edit?usp=sharing,75,"6'9""",250 lbs,C,PF,,,,,,,,,,,,"$36,810,996","$38,957,028",,,,,,,,,,,,,,,,,,,63,0,,,,,,,,,,C/PF,LAC,https://www.basketball-reference.com/req/202106291/images/players/griffbl01.jpg,C,PF,C,PF,
"Williams, Ziaire","WILLIAMS, ZIAIRE",9/12/2001,22,1,Stanford,USA,2021,Round 1,Pick 10,2021,Round 1,Pick 18 (SAS),https://docs.google.com/spreadsheets/d/1ITdDXDuXa7GpQdKs2w-KMe4DKG9Sx3JvRv9VbXBWkVI/edit?usp=sharing,72,"6'8""",185 lbs,SF,PF,,,,,,,,,,,,,"$2,417,700","$2,538,500",,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,SF/PF,SAS,https://www.basketball-reference.com/req/202106291/images/players/willizi02.jpg,SF,PF,SF,PF,74
"Guy, Kyle","GUY, KYLE",8/11/1997,26,3,Virginia,USA,2019,Round 2,Pick 55,,,,https://docs.google.com/spreadsheets/d/1g6Ur6f36qZl40lJa9NMn9bMFcN1TnL0utTnC5YGB7e8/edit?usp=sharing,69,"6'1""",167 lbs,SG,PG,,,,,,,,,,,,"$1,445,697",,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,SG/PG,FA,https://www.basketball-reference.com/req/202106291/images/players/guyky01.jpg,SG,PG,,,
"Branham, Malaki","BRANHAM, MALAKI",5/12/2003,20,0,Ohio State,USA,2022,,,2022,Round 1,Pick 14 (CLE),https://docs.google.com/spreadsheets/d/1K2rbmHqesdOMBI82nlEb2RkiL9ZHgTCmKe2S2evtRFU/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,CLE,https://www.basketball-reference.com/req/202106291/images/headshots/branhma01.jpg,,,,,
"HALIBURTON, TYRESE","HALIBURTON, TYRESE",2/29/2000,23,2,Iowa State,USA,2020,Round 1,Pick 12,2020,Round 1,Pick 5 (IND),https://docs.google.com/spreadsheets/d/1hvyOSZu8PPsbeErzNf42rn87xN8a0uhDRJyFPbCNWkc/edit?usp=sharing,82,"6'5""",185 lbs,SG,PG,,,,,,,,,,,,"$5,334,100","$5,600,600",,,,,,,,,,,,,,,,,,,56,82,69,,,,,,,,,SG/PG,CLE,https://www.basketball-reference.com/req/202106291/images/players/halibty01.jpg,SG,PG,SG,PG,
"Hall, Josh","HALL, JOSH",10/8/2000,23,1,None,USA,2020,Undrafted,,2020,Round 2,Pick 54 (IND),https://docs.google.com/spreadsheets/d/11GsVu7Xgl8TMW-biTABz078KYcPHSytDd74MEWXJELE/edit?usp=sharing,66,"6'9""",190 lbs,SG,SF,,,,,,,,,,,,"$950,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG/SF,FA,https://www.basketball-reference.com/req/202106291/images/players/halljo01.jpg,SG,SF,,,
"HAMMONDS, RAYSHAUN","HAMMONDS, RAYSHAUN",11/10/1998,25,1,Georgia,USA,2020,Undrafted,,2020,Undrafted,,https://docs.google.com/spreadsheets/d/1-UitWEHazXBVzw175piLWKE1BUMGnDqrQJD4te6A44o/edit?usp=sharing,,,,,,,,,,,,,,,,,"$898,310",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,FA,,PF,,,,
"Mathurin, Bennedict","MATHURIN, BENNEDICT",6/19/2002,21,0,Arizona,Canada,2022,,,2022,Round 1,Pick 10 (MEM),https://docs.google.com/spreadsheets/d/1P3uwBrNsxsGF4VgKWzMyswj0nuwEDIDTdcUCMume7jE/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,MEM,https://www.basketball-reference.com/req/202106291/images/headshots/mathube01.jpg,,,SG,SF,
"Hardaway, Tim","HARDAWAY, TIM",2/8/1998,25,9,Michigan,USA,2013,Round 1,Pick 24,,,,https://docs.google.com/spreadsheets/d/1h8cTKc2IRR6wV7aS7xmWWoraDz9bsD7yabsvRPAGXDo/edit?usp=sharing,78,"6'5""",205 lbs,SF,SG,NBN Champion,,,,,,,,,,,"$18,975,000","$18,039,773","$16,596,591","$15,153,409","$13,710,227",,,,,,,,,,,,,,,,36,11,43,,,,,,,,,SF/SG,TOR,https://www.basketball-reference.com/req/202106291/images/players/hardati02.jpg,SF,SG,SF,SG,
"Harden, James","HARDEN, JAMES",8/26/1989,34,13,Arizona State,USA,2009,Round 1,Pick 3,,,,https://docs.google.com/spreadsheets/d/1WVSg92MFhzsQIjuAtmr2Hwp-Y9LxHyNoNnqPOcz8t1k/edit?usp=sharing,90,"6'5""",220 lbs,SG,PG,"NBN Most Valuable Player, All-NBN First Team, NBN All-Star",NBN All-Star,,,,,,,,,,"$41,254,920","$44,310,840",,,,,,,,,,,,,,,,,,,79,82,78,,,,,,,,,SG/PG,HOU,https://www.basketball-reference.com/req/202106291/images/players/hardeja01.jpg,SG,PG,,,
"Harkless, Maurice","HARKLESS, MAURICE",5/11/1993,30,10,"St. John's, N.Y.",USA,2012,Round 1,Pick 15,,,,https://docs.google.com/spreadsheets/d/1G0wT8X3e_qzgtY7h6UZVocjTmCcEJAGfNUPIrlJSLN8/edit?usp=sharing,72,"6'7""",220 lbs,PF,SF,,,,,,,,,,,,"$1,620,564",,,,,,,,,,,,,,,,,,,,25,0,,,,,,,,,,PF/SF,FA,https://www.basketball-reference.com/req/202106291/images/players/harklma01.jpg,PF,SF,,,
"Harrell, Montrezl","HARRELL, MONTREZL",1/26/1994,29,7,Louisville,USA,2015,Round 2,Pick 32,,,,https://docs.google.com/spreadsheets/d/1zvOyu42WMu2HbBt6wIs2o8W8uGLQoLnbIoSdYaoy1yw/edit?usp=sharing,81,"6'7""",240 lbs,C,PF,,,,,,,,,,,,"$9,000,000","$9,000,000",,,,,,,,,,,,,,,,,,,30,75,50,,,,,,,,,C/PF,LAL,https://www.basketball-reference.com/req/202106291/images/players/harremo01.jpg,C,PF,,,
"Harper, Ron","HARPER, RON",4/12/2000,23,0,Rutgers,USA,,,,2022,Round 2,Pick 54 (OKC),https://docs.google.com/spreadsheets/d/1MXl3gQE6_C5L_QX-ZRvtiuiIv0CqfHPASwMXD3O-xSk/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,OKC,https://www.basketball-reference.com/req/202106291/images/headshots/harpero02.jpg,,,,,
"Harris, Jalen","HARRIS, JALEN",8/14/1998,25,1,Nevada,USA,2020,Round 2,Pick 59,2020,Undrafted,,https://docs.google.com/spreadsheets/d/1tjM7urfn56F8uLhKVNLw6UhcKpWVSPGgPYO0R_Vs880/edit?usp=sharing,69,"6'5""",195 lbs,SG,SF,,,,,,,,,,,,"$898,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG/SF,FA,https://www.basketball-reference.com/req/202106291/images/players/harrija01.jpg,SG,SF,,,
"Harris, Joe","HARRIS, JOE",9/6/1991,32,8,Virginia,USA,2014,Round 2,Pick 33,,,,https://docs.google.com/spreadsheets/d/1RwNfWyLN2gvm6kZdgV06y-h4DObYOCAltyy7UBSbtOs/edit?usp=sharing,75,"6'6""",220 lbs,SF,SG,,,,,,,,,,,,"$12,000,000","$12,000,000","$12,000,000",,,,,,,,,,,,,,,,,,65,82,34,,,,,,,,,SF/SG,CHA,https://www.basketball-reference.com/req/202106291/images/players/harrijo01.jpg,SF,SG,SF,SG,
"Harris, Tobias","HARRIS, TOBIAS",7/15/1992,31,11,Tennessee,USA,2011,Round 1,Pick 19,,,,https://docs.google.com/spreadsheets/d/1xK5iE4R-lBiOKGakTOmSiXo7K5q-AYaVi4xyY84MiF8/edit?usp=sharing,84,"6'8""",226 lbs.,PF,SF,,,,,,,,,,,,"$34,358,850","$35,995,950","$37,633,050","$39,270,150",,,,,,,,,,,,,,,,,80,79,82,,,,,,,,,PF/SF,IND,https://www.basketball-reference.com/req/202106291/images/players/harrito02.jpg,PF,SF,,,
"Harrison, Shaquille","HARRISON, SHAQUILLE",10/6/1993,30,4,Tulsa,USA,2016,Undrafted,,,,,https://docs.google.com/spreadsheets/d/1Po4ELUOt4gGSX64QHErAOHag4_Xh31m-Hu9ipBpsa5U/edit?usp=sharing,70,"6'7""",190 lbs,PG,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG/SG,FA,https://www.basketball-reference.com/req/202106291/images/players/harrish01.jpg,PG,SG,,,
"Hart, Josh","HART, JOSH",3/6/1995,28,5,Villanova,USA,2017,Round 1,Pick 30,,,,https://docs.google.com/spreadsheets/d/1zPXWB9O7tBCXeXBJ0n8hU7TkVa6UJ9duhpUa0GsIVbw/edit?usp=sharing,79,"6'5""",215 lbs,SF,SG,,,,,,,,,,,,"$3,491,159","$7,692,403",,,,,,,,,,,,,,,,,,,27,82,46,,,,,,,,,SF/SG,BKN,https://www.basketball-reference.com/req/202106291/images/players/hartjo01.jpg,SF,SG,,,
"Boston, Brandon","BOSTON, BRANDON",11/28/2001,22,1,Kentucky,USA,2021,Round 2,Pick 51,2021,Round 2,Pick 37 (SAC),https://docs.google.com/spreadsheets/d/19nMhP6OaVTjHLC0zZeCrxR9GLIEgMlvXSQrHP84IbT0/edit?usp=sharing,69,"6'7""",188 lbs,SG,SF,,,,,,,,,,,,,"$950,000","$1,600,000",,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,SG/SF,CHI,https://www.basketball-reference.com/req/202106291/images/players/bostobr01.jpg,SG,SF,SG,SF,
"Haslem, Udonis","HASLEM, UDONIS",6/9/1980,43,19,Florida,USA,2002,Undrafted,,,,,https://docs.google.com/spreadsheets/d/18Y5XdBwtEB58Ix1DN1Jrs9N5psUvcDxMhqoOO53J0so/edit?usp=sharing,70,"6'8""",235 lbs,PF,C,,,,,,,,,,,,"$1,620,564","$2,641,691",,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,PF/C,FA,https://www.basketball-reference.com/req/202106291/images/players/hasleud01.jpg,PF,C,PF,C,70
"Hauser, Sam","HAUSER, SAM",12/8/1997,26,1,Virginia,USA,2021,Undrafted,,2021,Round 2,Pick 48 (ORL),https://docs.google.com/spreadsheets/d/1qbGMmomrdj85Ll75E4pa1hi9pLMjlSKdXidT9gF3Nkg/edit?usp=sharing,68,"6'8""",218 lbs,SF,PF,,,,,,,,,,,,,"$950,000",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SF/PF,,https://www.basketball-reference.com/req/202106291/images/players/hausesa01.jpg,SF,PF,SF,PF,
"Hayes, Jaxson","HAYES, JAXSON",5/23/2000,23,3,Texas,USA,2019,Round 1,Pick 8,,,,https://docs.google.com/spreadsheets/d/1aBDzBp_AWFTmRKHFJLqIU9ftnlS5pCveOqtej97PK1I/edit?usp=sharing,77,"6'11""",220 lbs,C,,,,,,,,,,,,,"$5,105,160","$5,348,280",,,,,,,,,,,,,,,,,,,44,0,32,,,,,,,,,C,OKC,https://www.basketball-reference.com/req/202106291/images/players/hayesja02.jpg,C,,C,,76
"Garuba, Usman","GARUBA, USMAN",3/9/2002,21,1,None,Spain,2021,Round 1,Pick 23,2021,Round 1,Pick 12 (MEM),https://docs.google.com/spreadsheets/d/1Q_Dfhsr8BNt1K4cgU3Oyr2CuaJ2UFRH7NjU-VdEoRS8/edit?usp=sharing,72,"6'8""",229 lbs,PF,SF,,,,,,,,,,,,,"$3,289,000","$3,453,600",,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,PF/SF,TOR,https://www.basketball-reference.com/req/202106291/images/players/garubus01.jpg,PF,SF,PF,SF,
"Hayward, Gordon","HAYWARD, GORDON",3/23/1990,33,12,Butler,USA,2010,Round 1,Pick 9,,,,https://docs.google.com/spreadsheets/d/1TdA1yQ0LXBHr1vyCm4HdMzf_6cp90QxC_FFmjX2p1Ok/edit?usp=sharing,81,"6'7""",225 lbs,SF,PF,,,,,,,,,,,,"$34,187,085","$27,000,000","$27,000,000","$27,000,000","$27,000,000",,,,,,,,,,,,,,,,66,82,43,,,,,,,,,SF/PF,HOU,https://www.basketball-reference.com/req/202106291/images/players/haywago01.jpg,SF,PF,SF,PF,
"Henry, Aaron","HENRY, AARON",8/30/1999,24,1,Michigan State,USA,2021,Undrafted,,2021,Round 2,Pick 56 (IND),https://docs.google.com/spreadsheets/d/1RTgBWAvFVcMx1sDZvwVz5JPjrjjAqDcMuXfc6D2ZN38/edit?usp=sharing,68,"6'6""",210 lbs,SG,SF,,,,,,,,,,,,,"$950,000",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SG/SF,FA,https://www.basketball-reference.com/req/202106291/images/players/henryaa01.jpg,SG,SF,,,
"Henson, John","HENSON, JOHN",12/28/1990,32,9,North Carolina,USA,2012,Round 1,Pick 14,,,,https://docs.google.com/spreadsheets/d/1qe3VParcvgefoTo70_uPGJu08DjbaaJ6OFuGhuHwRmQ/edit?usp=sharing,,,,,,,,,,,,,,,,,"$1,620,564",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,FA,https://www.basketball-reference.com/req/202106291/images/players/hensojo01.jpg,C,,,,
"Hernangomez, Juan","HERNANGOMEZ, JUAN",9/28/1995,28,6,None,Spain,2016,Round 1,Pick 15,,,,https://docs.google.com/spreadsheets/d/1y5UkIvviZCloYjFgWYPDv-uxQGoSMPdbj8XJIaaqsNI/edit?usp=sharing,74,"6'9""",214 lbs,SF,PF,,,,,,,,,,,,"$4,600,000","$1,939,350",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,SF/PF,NYK,https://www.basketball-reference.com/req/202106291/images/players/hernaju01.jpg,SF,PF,,,
"Hernangomez, Willy","HERNANGOMEZ, WILLY",5/27/1994,29,6,None,Spain,2015,Round 2,Pick 35,,,,https://docs.google.com/spreadsheets/d/1L4iRXWscap41DjRvLsZ5qexSoM0eIaqhzTRmCBfrdYc/edit?usp=sharing,75,"6'11""",250 lbs,C,,,,,,,,,,,,,"$1,737,145","$1,939,350",,,,,,,,,,,,,,,,,,,3,8,,,,,,,,,,C,FA,https://www.basketball-reference.com/req/202106291/images/players/hernawi01.jpg,C,,C,,74
"Herro, Tyler","HERRO, TYLER",1/20/2000,23,3,Kentucky,USA,2019,Round 1,Pick 13,,,,https://docs.google.com/spreadsheets/d/1X-Ydm2P0mObldMYvN6Uo4RSBTbn0D6hTZXJGMO26S4o/edit?usp=sharing,83,"6'5""",195 lbs,SG,PG,,,,,,,,,,,,"$3,822,240","$4,004,280",,,,,,,,,,,,,,,,,,,69,56,82,,,,,,,,,SG/PG,MIA,https://www.basketball-reference.com/req/202106291/images/players/herroty01.jpg,SG,PG,SG,PG,84
"Hezonja, Mario","HEZONJA, MARIO",2/25/1995,28,6,None,Croatia,2015,Round 1,Pick 5,,,,https://docs.google.com/spreadsheets/d/1f0bUiDUFPTMJUhrycNGHdldGAlVghjCPSj1xgVCn3KI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA,https://www.basketball-reference.com/req/202106291/images/players/hezonma01.jpg,SF,PF,,,
"Hield, Buddy","HIELD, BUDDY",12/17/1992,30,6,Oklahoma,Bahamas,2016,Round 1,Pick 6,,,,https://docs.google.com/spreadsheets/d/1QJ5QU1eQMq01cdRnhQSzf3Jz8hQjmT88Y58Ep1MXfP8/edit?usp=sharing,78,"6'4""",220 lbs,SG,SF,,,,,,,,,,,,"$24,931,818","$22,977,273","$21,022,727","$19,068,182",,,,,,,,,,,,,,,,,43,4,52,,,,,,,,,SG/SF,GSW,https://www.basketball-reference.com/req/202106291/images/players/hieldbu01.jpg,SG,SF,SG,SF,
"Hill, George","HILL, GEORGE",5/4/1986,37,14,IUPUI,USA,2008,Round 1,Pick 26,,,,https://docs.google.com/spreadsheets/d/1-tF-rN9lFTePeoG-3NS2r1tNAyVKwfeebqVlFgsjEkI/edit?usp=sharing,74,"6'4""",188 lbs,PG,SG,,,,,,,,,,,,"$9,590,602","$2,641,691",,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,PG/SG,FA,https://www.basketball-reference.com/req/202106291/images/players/hillge01.jpg,PG,SG,PG,SG,73
"Hinton, Nate","HINTON, NATE",6/8/1999,24,1,Houston,USA,2020,Undrafted,,2020,Undrafted,,https://docs.google.com/spreadsheets/d/1QBDBVsQ3YICwKY0Uw21BIPspdtzpiXk9zhXq0IvNFpE/edit?usp=sharing,67,"6'3""",210 lbs,SG,,,,,,,,,,,,,"$898,310","$1,517,981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,FA,https://www.basketball-reference.com/req/202106291/images/players/hintona01.jpg,SG,,SG,,
"Hoard, Jaylen","HOARD, JAYLEN",3/30/1999,24,3,Wake Forest,France,2019,Undrafted,,,,,https://docs.google.com/spreadsheets/d/1r-e7gf_S65Pzvh4UPkORjqcKyUIoxGBc2WVYhCXdd9Y/edit?usp=sharing,69,"6'8""",216 lbs,PF,SF,NBN Champion,,,,,,,,,,,"$368,902","$1,669,178",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,PF/SF,FA,https://www.basketball-reference.com/req/202106291/images/players/hoardja01.jpg,PF,SF,,,
"Green, Javonte","GREEN, JAVONTE",7/23/1993,30,3,Radford,USA,2015,Undrafted,,,,,https://docs.google.com/spreadsheets/d/1HIH76BQyNOmOPyszGbrSdIzscH3MBbtbkNPWee0zCiA/edit?usp=sharing,76,"6'4""",205 lbs,SG,SF,,,,,,,,,,,,,"$1,701,593",,,,,,,,,,,,,,,,,,,0,0,4,,,,,,,,,SG/SF,POR,https://www.basketball-reference.com/req/202106291/images/players/greenja02.jpg,SG,SF,SG,SF,
